"song","artist","rank","weeks_on_board"
"(I Wanna) Love My Life Away","Gene Pitney",341,8
"(I Wanna) Testify","The Parliaments",740,13
"(I was) Born To Cry","Dion",302,7
"(I Washed My Hands In) Muddy Water","Johnny Rivers",497,8
"(I Will Be Your) Shadow In The Street","Allan Clarke",406,10
"(If Loving You Is Wrong) I Don't Want To Be Right","Barbara Mandrell",725,16
"(If Loving You Is Wrong) I Don't Want To Be Right","Luther Ingram",1317,16
"(If There Was) Any Other Way","Celine Dion",547,12
"(If You're Not In It For Love) I'm Outta Here!/The Woman In Me","Shania Twain",184,15
"(If You're Wondering If I Want You To) I Want You To","Weezer",82,9
"(if You Add) All The Love In The World","Mac Davis",147,4
"(If You Cry) True Love, True Love","The Drifters",583,11
"(If You Let Me Make Love To You Then) Why Can't I Touch You?","Ronnie Dyson",930,14
"(If You Want It) Do It Yourself","Gloria Gaynor",4,2
"(It's Been A Long Time) Pretty Baby","Gino & Gina",55,1
"(It's Just) The Way That You Love Me","Paula Abdul",1450,25
"(It's No) Sin","The Duprees featuring Joey Vann",83,5
"(It's The Way) Nature Planned It","Four Tops",359,9
"(It Never Happens) In Real Life","Chuck Jackson",299,7
"(It) Feels So Good","Steven Tyler",108,4
"(Just Like) Romeo & Juliet","The Reflections",836,12
"(Just Like) Romeo And Juliet","Sha Na Na",270,10
"(Just Like) Starting Over","John Lennon",1838,22
"(Keep Feeling) Fascination","The Human League",1395,20
"(Kissed You) Good Night","Gloriana",859,20
"(Last Night) I Didn't Get To Sleep At All","The 5th Dimension",1158,16
"(Lay Your Head On My) Pillow","Tony Toni Tone",678,15
"(Let's Do) The Hully Gully Twist","Bill Doggett",88,3
"(Loneliness Made Me Realize) It's You That I Need","The Temptations",669,9
"(Love Is Like A) Baseball Game","The Intruders",435,9
"(Love Is) Thicker Than Water","Andy Gibb",2105,29
"(Love Me) Love The Life I Lead","The Fantastics",51,4
"(Love Theme From) One Eyed Jacks","Ferrante & Teicher",323,7
"(Mama Come Quick, and Bring Your) Lickin' Stick","George Torrence & The Naturals",20,2
"(Marie's The Name) His Latest Flame","Elvis Presley",755,11
"(Meet) The Flintstones (From ""The Flintstones"")","The B.C. 52's",328,8
"(My Girl) Sloopy","Little Caesar And The Consuls",324,8
"(Native Girl) Elephant Walk","Donald Jenkins & The Delighters",237,8
"(New In) The Ways Of Love","Tommy Edwards",303,9
"(Night Time Is) The Right Time","Ray Charles with the Raylettes",6,1
"(Not Just) Knee Deep - Part 1","Funkadelic",90,4
"(Now and Then There's) A Fool Such As I","Elvis Presley With The Jordanaires",1109,15
"(Now You See Me) Now You Don't","Lee Ann Womack",243,11
"(Oh Lord Won't You Buy Me A) Mercedes Benz","Goose Creek Symphony",223,9
"(oh) Pretty Woman","Van Halen",956,16
"(one More Year Of) Daddy's Little Girl","Ray Sawyer",58,3
"(One Of These Days) Sunday's Gonna' Come On Tuesday","The New Establishment",14,2
"(Open Up The Door) Let The Good Times In","Dean Martin",202,6
"(Our Love) Don't Throw It All Away","Andy Gibb",1296,18
"(Pride) In The Name Of Love","U2",679,15
"(Quarter To Four) Stomp","The Stompers",1,1
"(Reach Up For The) Sunrise","Duran Duran",36,5
"(Remember Me) I'm The One Who Loves You","Dean Martin",367,7
"(Remember The Days Of The) Old Schoolyard","Cat Stevens",467,10
"(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?","Elton John",490,12
"(Say) You're My Girl","Roy Orbison",332,7
"(See You At The) ""Go-Go""","Dobie Gray",140,7
"(Seven Little Girls) Sitting In The Back Seat","Paul Evans and the Curls",1145,18
"(Shake, Shake, Shake) Shake Your Booty","KC And The Sunshine Band",1605,21
"(She's A) Very Lovely Woman/The Long Way Around","Linda Ronstadt",109,5
"(She's Got) Skillz","All-4-One",622,20
"(She's Just A) Fallen Angel","Starz",12,3
"(she's) Sexy + 17","Stray Cats",1142,15
"(She's) Some Kind Of Wonderful","Huey Lewis & The News",454,12
"(She's) Some Kind Of Wonderful","The Fantastic Johnny C",28,2
"(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool","Travis Wammack",372,10
"(Sittin' On) The Dock Of The Bay","King Curtis & The Kingpins",76,5
"(Sittin' On) The Dock Of The Bay","Michael Bolton",1058,17
"(Sittin' On) The Dock Of The Bay","Otis Redding",1383,16
"(Sittin' On) The Dock Of The Bay","Sammy Hagar",134,5
"(Sittin' On) The Dock Of The Bay","Sergio Mendes & Brasil '66",129,5
"(Sittin' On) The Dock Of The Bay","The Reddings",252,9
"(Such An) Easy Question","Elvis Presley With The Jordanaires",572,8
"(Sweet Sweet Baby) Since You've Been Gone","Aretha Franklin",1040,12
"(That's) What The Nitty Gritty Is","Shirley Ellis",134,6
"(The Bees Are For The Birds) The Birds Are For The Bees","The Newbeats",295,7
"(The Best Part Of) Breakin' Up","The Ronettes",328,8
"(The Clickity Clack Song) Four Little Heels","Brian Hyland",52,3
"(The Lament Of The Cherokee) Indian Reservation","Don Fardon",556,9
"(The Lights Went Out In) Massachusetts","Bee Gees",556,8
"(The Man Who Shot) Liberty Valance","Gene Pitney",882,13
"(The Puppet Song) Whiskey On A Sunday","The Irish Rovers",151,7
"(The Story Of) Woman, Love And A Man (Part 1)","Tony Clarke",13,1
"(The System Of) Doctor Tarr And Professor Fether","The Alan Parsons Project",424,10
"(Theme From) ""Goodbye Again""","Ferrante & Teicher",47,4
"(Theme from) ""The Dark At The Top Of The Stairs""","Ernie Freeman",106,6
"(Theme from) A Summer Place","Dick Roman",196,7
"(Theme From) Any Number Can Win","Jimmy Smith",5,1
"(Theme from) Charlie's Angels","Henry Mancini And His Orchestra",273,9
"(Theme From) Love Story","Henry Mancini And His Orchestra",777,11
"(Theme from) My Three Sons","Lawrence Welk And His Orchestra",254,7
"(Theme From) Silver City","The Ventures",31,3
"(Theme from) The Great Impostor","Henry Mancini And His Orchestra",11,1
"(Theme From) The Sundowners","Mantovani & His Orchestra",8,1
"(Theme From) Valley Of The Dolls","Dionne Warwick",1062,13
"(There'll Come A Day When) Ev'ry Little Bit Hurts","Bobby Vee",61,5
"(There's Gotta Be) More To Life","Stacie Orrico",984,20
"(There's No Place Like) Home For The Holidays","Perry Como",448,7
"(There's) Always Something There To Remind Me","Dionne Warwick",149,5
"(There's) Always Something There To Remind Me","Lou Johnson",276,7
"(There's) Always Something There To Remind Me","Sandie Shaw",260,7
"(There's) No Gettin' Over Me","Ronnie Milsap",1484,20
"(There Was A) Tall Oak Tree","Dorsey Burnette",777,15
"(They Long To Be) Close To You","Carpenters",1465,17
"(They Long To Be) Close To You","Jerry Butler & Brenda Lee Eager",17,3
"(Today I Met) The Boy I'm Gonna Marry","Darlene Love",322,8
"(Want You) Back In My Life Again","Carpenters",172,8
"(We'll Be) United","The Intruders",75,6
"(We've Got) Honey Love","Martha Reeves & The Vandellas",182,6
"(We Ain't Got) Nothin' Yet","Blues Magoos",999,14
"(Welcome) New Lovers","Pat Boone",778,12
"(What A Sad Way) To Love Someone","Ral Donner",114,7
"(What A)  Wonderful World","Art Garfunkel With James Taylor & Paul Simon",749,14
"(what) In The Name Of Love","Naked Eyes",526,12
"(When She Needs Good Lovin') She Comes To Me","The Chicago Loop",332,7
"(When You Gonna) Give It Up To Me","Sean Paul Feat. Keyshia Cole",1615,22
"(Where Do I Begin) Love Story","Andy Williams",914,13
"(Wish I Could Fly Like) Superman","The Kinks",413,12
"(You're Gonna) Hurt Yourself","Frankie Valli",307,7
"(You're My One And Only) True Love","Seduction",991,21
"(You're My) Soul And Inspiration","Donny & Marie Osmond",494,11
"(You're My) Soul And Inspiration","The Righteous Brothers",1094,13
"(You're Puttin') A Rush On Me","Stephanie Mills",25,2
"(you're So Square) Baby, I Don't Care","Joni Mitchell",321,9
"(You're the) Devil In Disguise","Elvis Presley With The Jordanaires",868,11
"(You're) Having My Baby","Paul Anka with Odia Coates",1162,15
"(You've Got Me) Dangling On A String","Chairman Of The Board",422,9
"(You've Got To) Move Two Mountains","Marv Johnson",561,11
"(You've Got) Personality And Chantilly Lace","Mitch Ryder",43,4
"(You Better) Know What You're Doin'","Lloyd Price and His Orchestra",14,2
"(You Can't Let The Boy Overpower) The Man In You","Chuck Jackson",7,1
"(You Can't Let The Boy Overpower) The Man In You","The Miracles",175,5
"(You Can Still) Rock In America","Night Ranger",427,12
"(You Don't Have To) Paint Me A Picture","Gary Lewis And The Playboys",523,8
"(You Don't Know) How Glad I Am","Nancy Wilson",766,11
"(You Drive Me) Crazy","Britney Spears",1175,20
"(You Got To Walk And) Don't Look Back","Peter Tosh with Mick Jagger",76,5
"(You Gotta) Fight For Your Right (To Party!)","Beastie Boys",1075,18
"(You Keep Me) Hangin' On","Joe Simon",765,15
"(You Make Me Feel Like) A Natural Woman","Aretha Franklin",701,9
"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")","Mary J. Blige",7,2
"(You Make Me Feel) So Good","The McCoys",162,4
"(You Want To) Make A Memory","Bon Jovi",515,20
"(You Were Made For) All My Love","Jackie Wilson",864,13
"(your Love Has Lifted Me) Higher And Higher","Rita Coolidge",1742,27
"(Your Love Keeps Lifting Me) Higher And Higher","Jackie Wilson",912,12
"***Flawless","Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie",372,20
"......And Roses And Roses","Andy Williams",362,7
"...And Then There Were Drums","Sandy Nelson",112,4
"...Baby One More Time","Britney Spears",2727,32
"...Ready For It?","Taylor Swift",1126,20
"@ MEH","Playboi Carti",66,1
"[Freak] And U Know It","Adina Howard",149,7
"¿Dònde Està Santa Claus? (Where Is Santa Claus?)","Augie Rios",191,4
"0 To 100 / The Catch Up","Drake",1060,20
"1-2-3","Gloria Estefan & Miami Sound Machine",1285,19
"1-2-3","Len Barry",1098,15
"1-2-3","The Chimes",49,5
"1-4-All-4-1","East Coast Family",63,6
"1-800-273-8255","Logic Featuring Alessia Cara & Khalid",2730,42
"1-Luv","E-40 (Featuring Leviti)",299,14
"1 Night","Lil Yachty",654,20
"1 Step Forward, 3 Steps Back","Olivia Rodrigo",187,4
"1 Thing","Amerie",1242,20
"1, 2 Many","Luke Combs & Brooks & Dunn",4,1
"1, 2 Step","Ciara Featuring Missy Elliott",3180,39
"1, 2, 3, 4","Plain White T's",1064,20
"1, 2, 3, 4 (Sumpin' New)","Coolio",1589,21
"1, 2, 3, Red Light","1910 Fruitgum Co.",987,13
"1,000 Laughs","Eloise Laws",46,6
"1.5","21 Savage",15,1
"1+1","Beyonce",56,2
"10-9-8","Face To Face",614,15
"10 Bands","Drake",271,13
"10 Freaky Girls","Metro Boomin Featuring 21 Savage",173,4
"10 Little Bottles","Johnny Bond",289,8
"10,000 Hours","Dan + Shay & Justin Bieber",2552,30
"100","The Game Featuring Drake",96,10
"100 Grandkids","Mac Miller",1,1
"100 Years","Five For Fighting",1314,22
"100 Years","Nancy Sinatra",117,6
"100% Pure Love","Crystal Waters",3164,45
"100.mil'","J. Cole & Bas",108,2
"1234","Feist",552,15
"13 Questions","Seatrain",512,12
"1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD",108,3
"143","Bobby Brackins Featuring Ray J",137,11
"1432 Franklin Pike Circle Hero","Bobby Russell",345,7
"15 Minutes","Marc Nelson",697,16
"16 Candles","The Crests",1517,21
"17","Rick James",600,14
"17 Again","Brantley Gilbert",11,1
"18","One Direction",14,1
"18 And Life","Skid Row",1286,20
"18 Yellow Roses","Bobby Darin",670,10
"19","Paul Hardcastle",866,14
"19 Somethin'","Mark Wills",1322,20
"19 You + Me","Dan + Shay",574,18
"1900 Yesterday","Liz Damon's Orient Express",583,12
"1901","Phoenix",131,13
"1927 Kansas City","Mike Reilly",43,6
"1941","Tom Northcott",26,2
"1942","G-Eazy Featuring Yo Gotti & YBN Nahmir",158,8
"1942 Flows","Meek Mill",18,1
"1973","James Blunt",49,3
"1979","The Smashing Pumpkins",1684,22
"1984","Spirit",202,9
"1985","Bowling For Soup",1052,20
"1985 (Intro To The Fall Off)","J. Cole",103,2
"1994","Jason Aldean",368,11
"1999","Prince",1617,30
"19th Nervous Breakdown","The Rolling Stones",890,10
"1st Of Tha Month","Bone Thugs-N-Harmony",1027,20
"1st Time","Yung Joc Featuring Marques Houston & Trey Songz",61,6
"2 Become 1","Spice Girls",1873,24
"2 Legit 2 Quit","M.C. Hammer",1571,20
"2 Much","Justin Bieber",33,1
"2 On","Tinashe Featuring ScHoolboy Q",1434,24
"2 Phones","Kevin Gates",1617,25
"2 Reasons","Trey Songz Featuring T.I.",875,20
"2 Step","Unk",1242,21
"2 Way Street","Missjones",253,13
"20-75","Willie Mitchell",492,10
"20/20","George Benson",411,13
"20/20","Lil Tjay",7,1
"2012 (It Ain't The End)","Jay Sean Featuring Nicki Minaj",706,14
"2040","Lil Baby & Lil Durk",77,2
"2055","Sleepy Hallow",542,15
"21","Polo G",99,8
"21 Guns","Green Day",1311,20
"21 Questions","50 Cent Featuring Nate Dogg",1950,23
"21st Century Girl","WILLOW",2,1
"22","Taylor Swift",1272,20
"223's","YNW Melly & 9lokknine",734,19
"23","Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",1741,23
"24","Kanye West",58,1
"24","Money Man Featuring Lil Baby",524,14
"24's","T.I.",237,15
"24 Hours","A Boogie Wit da Hoodie Featuring Lil Durk",9,1
"24 Hours","TeeFLii Featuring 2 Chainz",76,7
"24/7","Dino",568,14
"24/7","Kevon Edmonds",1093,20
"24/7","Meek Mill Featuring Ella Mai",388,19
"24K Magic","Bruno Mars",3262,41
"25 Or 6 To 4","Chicago",1301,20
"25 To Life","Eminem",9,1
"26 Cents","The Wilkinsons",669,18
"2U","David Guetta Featuring Justin Bieber",694,11
"3","Britney Spears",1607,20
"3-2-1 Pump","Redhead Kingpin & The F.B.I.",497,15
"3 A.M. Eternal","The KLF",1254,19
"3 Headed Goat","Lil Durk Featuring Lil Baby & Polo G",201,16
"3 Headed Snake","Gunna Featuring Young Thug",27,1
"3 Little Words","Nu Flavor",59,9
"3 Peat","Lil Wayne",35,1
"30","Pop Smoke Featuring Bizzy Banks",4,1
"30-60-90","Willie Mitchell",141,5
"30 For 30 Freestyle","Drake",22,2
"3000 Miles","Brian Hyland",2,1
"31 Days","Future",38,2
"31 Flavors","The Shirelles",4,1
"32 Flavors","Alana Davis",802,20
"33","Polo G",8,1
"34+35","Ariana Grande",2276,27
"34+35","Ariana Grande Feat. Doja Cat & Megan Thee Stallion",65,28
"3500","Travi$ Scott Featuring Future & 2 Chainz",19,1
"360 Degrees (What Goes Around)","Grand Puba",199,14
"365","Zedd & Katy Perry",15,1
"3am","Eminem",69,1
"3rd Man Theme","Herb Alpert & The Tijuana Brass",244,6
"4 - By The Beatles","The Beatles",136,5
"4 AM","2 Chainz Featuring Travis Scott",268,12
"4 AM","Melanie Fiona",99,8
"4 Da Gang","42 Dugg & Roddy Ricch",213,14
"4 Da Gang","Future",9,1
"4 Ever","Lil' Mo Featuring Fabolous",750,20
"4 In The Morning","Gwen Stefani",512,16
"4 Minutes","Avant",431,14
"4 Minutes","Glee Cast",12,1
"4 Minutes","Madonna Featuring Justin Timberlake & Timbaland",1558,20
"4 My Town (Play Ball)","Birdman Featuring Drake & Lil Wayne",18,3
"4 Seasons Of Loneliness","Boyz II Men",1718,20
"4 Your Eyez Only","J. Cole",72,1
"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",193,12
"4, 5, 6","Sole Featuring JT Money & Kandi",733,16
"4:44","JAY-Z",106,2
"409","The Beach Boys",25,1
"44 Bulldog","Pop Smoke",64,2
"44 More","Logic",217,5
"442 Glenwood Avenue","The Pixies Three",177,7
"4422","Drake Featuring Sampha",70,2
"444+222","Lil Uzi Vert",64,3
"4th Dimension","KIDS SEE GHOSTS Featuring Louis Prima",59,1
"5-1-5-0","Dierks Bentley",817,20
"5-10-15-20 (25-30 Years Of Love)","The Presidents",932,15
"5-4-3-2 (Yo! Time Is Up)","Jade",229,13
"5 D (Fifth Dimension)","The Byrds",220,5
"5 Miles To Empty","Brownstone",728,16
"5 O'Clock","Nonchalant",929,20
"5 O'Clock","T-Pain Featuring Wiz Khalifa & Lily Allen",1455,20
"5 Star","Yo Gotti",39,2
"5% Tint","Travis Scott",77,2
"5.7.0.5.","City Boy",607,12
"5:15","The Who",268,7
"50 Shots","YoungBoy Never Broke Again",42,1
"50 Ways To Leave Your Lover","Paul Simon",1286,17
"50 Ways To Say Goodbye","Train",1174,20
"500 Miles","Hooters",17,5
"500 Miles Away From Home","Bobby Bare",703,11
"5500 Degrees","EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",10,2
"57 Channels (And Nothin' On)","Bruce Springsteen",149,6
"6 Foot 7 Foot","Lil Wayne Featuring Cory Gunz",1635,21
"6 God","Drake",18,1
"6 Inch","Beyonce Featuring The Weeknd",175,3
"6 Kiss","Trippie Redd Featuring Juice WRLD & YNW Melly",86,4
"6 Man","Drake",4,1
"6 Minutes Of Pleasure","LL Cool J",7,2
"6 Underground","Sneaker Pimps",837,22
"634-5789 (Soulsville, U.S.A.)","Wilson Pickett",766,11
"66","Lil Yachty Featuring Trippie Redd",28,1
"679","Fetty Wap Featuring Remy Boyz",3338,40
"7","Prince And The New Power Generation",1697,23
"7-6-5-4-3-2-1 (Blow Your Whistle)","Gary Toms Empire",535,17
"7 And 7 Is","Love",461,10
"7 Days","Craig David",1478,20
"7 Rings","Ariana Grande",2863,33
"7 Rooms Of Gloom","Four Tops",535,8
"7 Seconds","Youssou N'Dour & Neneh Cherry",8,4
"7 Summers","Morgan Wallen",1122,24
"7 Things","Miley Cyrus",864,15
"7 Years","Lukas Graham",2835,36
"7/11","Beyonce",1461,20
"7:30 Guided Tour","The Five Americans",10,2
"77 Sunset Strip","The Big Sound Of Don Ralke",89,5
"777-9311","The Time",30,3
"7am On Bridle Path","Drake",138,3
"8","Billie Eilish",22,1
"8 Out Of 10","Drake",125,3
"8 X 10","Bill Anderson",215,6
"808","Blaque",1446,20
"80s Mercedes","Maren Morris",169,13
"853-5937","Squeeze",624,12
"865","Morgan Wallen",155,5
"867-5309/jenny","Tommy Tutone",1700,27
"8th Of November","Big & Rich",13,2
"8th Wonder","Sugarhill Gang",95,9
"8th World Wonder","Kimberley Locke",522,20
"9","Drake",168,5
"9 AM In Dallas","Drake",44,1
"9 Piece","Rick Ross Featuring Lil Wayne Or T.I.",55,2
"9 To 5","Dolly Parton",1853,26
"9,999,999 Tears","Dickey Lee",328,10
"90's Girl","Blackgirl",225,13
"911","Wyclef Jean Featuring Mary J. Blige",779,19
"92 Explorer","Post Malone",96,3
"93 'til Infinity","Souls Of Mischief",164,9
"95.south","J. Cole",142,3
"96 Tears","? (Question Mark) & The Mysterians",1264,15
"96 Tears","Big Maybelle",11,3
"96 Tears","Garland Jeffreys",150,7
"98.6","Keith",952,14
"99","Toto",874,17
"99 1/2","Carol Lynn Townes",130,9
"99 Luftballons","Nena",1463,23
"99 Miles From L.a.","Albert Hammond",40,6
"99 Problems","JAY-Z",473,12
"99 Problems","Tony Lucca",43,1
"99 Worlds","Peter Wolf",60,4
"99.9% Sure (I've Never Been Here Before)","Brian McComas",316,11
"992 Arguments","The O'Jays",281,8
"9th Wonder (Slicker This Year)","Digable Planets",97,7
"A-O-K","Tai Verdes",787,17
"A-YO","Lady Gaga",35,1
"A Bad Goodbye","Clint Black With Wynonna",418,11
"A Banda (Ah Bahn-da)","Herb Alpert & The Tijuana Brass",319,6
"A Bay Bay","Hurricane Chris",1420,20
"A Beautiful Morning","The Rascals",1076,13
"A Beautiful Story","Sonny & Cher",172,5
"A Better Love","Londonbeat",818,15
"A Big Hunk O' Love","Elvis Presley With The Jordanaires",1083,14
"A Bitter End","Deryl Dodd",42,7
"A Boy Is A Gun","Tyler, The Creator",27,1
"A Boy Named Sue","Johnny Cash",1075,12
"A Boy Without A Girl","Frankie Avalon",887,14
"A Brand New Me","Dusty Springfield",736,12
"A Breath Taking Guy","The Supremes",108,7
"A Broken Wing","Jordin Sparks",43,2
"A Case Of You","James Wolpert",29,1
"A Certain Girl","Ernie K-Doe",87,4
"A Certain Girl","Warren Zevon",197,7
"A Certain Smile","Johnny Mathis",523,9
"A Chance For Heaven","Christopher Cross",83,5
"A Change Is Gonna Come","Adam Lambert",45,1
"A Change Is Gonna Come","Sam Cooke",417,7
"A Change Is Gonna Come & People Gotta Be Free/The Declaration","The 5th Dimension",168,5
"A City Girl Stole My Country Boy","Patti Page",11,1
"A Closer Walk","Pete Fountain",23,3
"A Corner In The Sun","Walter Jackson",55,4
"A Cottage For Sale","Little Willie John",131,6
"A Country Boy Can Survive (Y2K Version)","Chad Brock With Hank Williams Jr. & George Jones",43,3
"A Cowboys Work Is Never Done","Sonny & Cher",973,13
"A Cross Stands Alone","Jimmy Witter",32,4
"A Day In My Life (Without You)","Lisette Melendez",631,20
"A Day In The Life Of A Fool","Jack Jones",239,8
"A Deeper Love (From ""Sister Act 2"")","Aretha Franklin",211,9
"A Deeper Love/Pride In The Name Of Love","Clivilles & Cole",620,17
"A Different Corner","George Michael",1063,16
"A Different World","Bucky Covington",452,20
"A Dollar Down","The Limeliters",101,3
"A Dose Of Rock 'N' Roll","Ringo Starr",530,9
"A Dream Goes On Forever","Todd Rundgren",151,6
"A Dreams A Dream","Soul II Soul",55,5
"A Face In The Crowd","Tom Petty",275,8
"A Feelin' Like That","Gary Allan",7,1
