,Artists,Name
122,Gloria Gaynor,(If You Want It) Do It Yourself
123,Gino & Gina,(It's Been A Long Time) Pretty Baby
124,Paula Abdul,(It's Just) The Way That You Love Me
125,The Duprees featuring Joey Vann,(It's No) Sin
126,Four Tops,(It's The Way) Nature Planned It
127,Chuck Jackson,(It Never Happens) In Real Life
128,Steven Tyler,(It) Feels So Good
129,The Reflections,(Just Like) Romeo & Juliet
130,Sha Na Na,(Just Like) Romeo And Juliet
131,John Lennon,(Just Like) Starting Over
132,The Human League,(Keep Feeling) Fascination
133,Gloriana,(Kissed You) Good Night
134,The 5th Dimension,(Last Night) I Didn't Get To Sleep At All
135,Tony Toni Tone,(Lay Your Head On My) Pillow
136,Bill Doggett,(Let's Do) The Hully Gully Twist
137,The Temptations,(Loneliness Made Me Realize) It's You That I Need
138,The Intruders,(Love Is Like A) Baseball Game
139,Andy Gibb,(Love Is) Thicker Than Water
140,The Fantastics,(Love Me) Love The Life I Lead
141,Ferrante & Teicher,(Love Theme From) One Eyed Jacks
142,George Torrence & The Naturals,(Mama Come Quick and Bring Your) Lickin' Stick
143,Elvis Presley,(Marie's The Name) His Latest Flame
144,The B.C. 52's,(Meet) The Flintstones (From "The Flintstones")
145,Little Caesar And The Consuls,(My Girl) Sloopy
146,Donald Jenkins & The Delighters,(Native Girl) Elephant Walk
147,Tommy Edwards,(New In) The Ways Of Love
148,Ray Charles with the Raylettes,(Night Time Is) The Right Time
149,Funkadelic,(Not Just) Knee Deep - Part 1
150,Elvis Presley With The Jordanaires,(Now and Then There's) A Fool Such As I
151,Lee Ann Womack,(Now You See Me) Now You Don't
152,Goose Creek Symphony,(Oh Lord Won't You Buy Me A) Mercedes Benz
153,Van Halen,(oh) Pretty Woman
154,Ray Sawyer,(one More Year Of) Daddy's Little Girl
155,The New Establishment,(One Of These Days) Sunday's Gonna' Come On Tuesday
156,Dean Martin,(Open Up The Door) Let The Good Times In
157,Andy Gibb,(Our Love) Don't Throw It All Away
158,U2,(Pride) In The Name Of Love
159,The Stompers,(Quarter To Four) Stomp
160,Duran Duran,(Reach Up For The) Sunrise
161,Dean Martin,(Remember Me) I'm The One Who Loves You
162,Cat Stevens,(Remember The Days Of The) Old Schoolyard
163,Elton John,(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?
164,Roy Orbison,(Say) You're My Girl
165,Dobie Gray,(See You At The) "Go-Go"
166,Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat
167,KC And The Sunshine Band,(Shake Shake Shake) Shake Your Booty
168,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around
169,All-4-One,(She's Got) Skillz
170,Starz,(She's Just A) Fallen Angel
171,Stray Cats,(she's) Sexy + 17
172,Huey Lewis & The News,(She's) Some Kind Of Wonderful
173,The Fantastic Johnny C,(She's) Some Kind Of Wonderful
174,Travis Wammack,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool
175,King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay
176,Michael Bolton,(Sittin' On) The Dock Of The Bay
177,Otis Redding,(Sittin' On) The Dock Of The Bay
178,Sammy Hagar,(Sittin' On) The Dock Of The Bay
179,Sergio Mendes & Brasil '66,(Sittin' On) The Dock Of The Bay
180,The Reddings,(Sittin' On) The Dock Of The Bay
181,Elvis Presley With The Jordanaires,(Such An) Easy Question
182,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone
183,Shirley Ellis,(That's) What The Nitty Gritty Is
184,The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees
185,The Ronettes,(The Best Part Of) Breakin' Up
186,Brian Hyland,(The Clickity Clack Song) Four Little Heels
187,Don Fardon,(The Lament Of The Cherokee) Indian Reservation
188,Bee Gees,(The Lights Went Out In) Massachusetts
189,Gene Pitney,(The Man Who Shot) Liberty Valance
190,The Irish Rovers,(The Puppet Song) Whiskey On A Sunday
191,Tony Clarke,(The Story Of) Woman Love And A Man (Part 1)
192,The Alan Parsons Project,(The System Of) Doctor Tarr And Professor Fether
193,Ferrante & Teicher,(Theme From) "Goodbye Again"
194,Ernie Freeman,(Theme from) "The Dark At The Top Of The Stairs"
195,Dick Roman,(Theme from) A Summer Place
196,Jimmy Smith,(Theme From) Any Number Can Win
197,Henry Mancini And His Orchestra,(Theme from) Charlie's Angels
198,Henry Mancini And His Orchestra,(Theme From) Love Story
199,Lawrence Welk And His Orchestra,(Theme from) My Three Sons
200,The Ventures,(Theme From) Silver City
201,Henry Mancini And His Orchestra,(Theme from) The Great Impostor
202,Mantovani & His Orchestra,(Theme From) The Sundowners
203,Dionne Warwick,(Theme From) Valley Of The Dolls
204,Bobby Vee,(There'll Come A Day When) Ev'ry Little Bit Hurts
205,Stacie Orrico,(There's Gotta Be) More To Life
206,Perry Como,(There's No Place Like) Home For The Holidays
207,Dionne Warwick,(There's) Always Something There To Remind Me
208,Lou Johnson,(There's) Always Something There To Remind Me
209,Sandie Shaw,(There's) Always Something There To Remind Me
210,Ronnie Milsap,(There's) No Gettin' Over Me
211,Dorsey Burnette,(There Was A) Tall Oak Tree
212,Carpenters,(They Long To Be) Close To You
213,Jerry Butler & Brenda Lee Eager,(They Long To Be) Close To You
214,Darlene Love,(Today I Met) The Boy I'm Gonna Marry
215,Carpenters,(Want You) Back In My Life Again
216,The Intruders,(We'll Be) United
217,Martha Reeves & The Vandellas,(We've Got) Honey Love
218,Blues Magoos,(We Ain't Got) Nothin' Yet
219,Pat Boone,(Welcome) New Lovers
220,Ral Donner,(What A Sad Way) To Love Someone
221,Art Garfunkel With James Taylor & Paul Simon,(What A)  Wonderful World
222,Naked Eyes,(what) In The Name Of Love
223,The Chicago Loop,(When She Needs Good Lovin') She Comes To Me
224,Sean Paul Feat. Keyshia Cole,(When You Gonna) Give It Up To Me
225,Andy Williams,(Where Do I Begin) Love Story
226,The Kinks,(Wish I Could Fly Like) Superman
227,Frankie Valli,(You're Gonna) Hurt Yourself
228,Seduction,(You're My One And Only) True Love
229,Donny & Marie Osmond,(You're My) Soul And Inspiration
230,The Righteous Brothers,(You're My) Soul And Inspiration
231,Stephanie Mills,(You're Puttin') A Rush On Me
232,Joni Mitchell,(you're So Square) Baby I Don't Care
233,Elvis Presley With The Jordanaires,(You're the) Devil In Disguise
234,Paul Anka with Odia Coates,(You're) Having My Baby
235,Chairman Of The Board,(You've Got Me) Dangling On A String
236,Marv Johnson,(You've Got To) Move Two Mountains
237,Mitch Ryder,(You've Got) Personality And Chantilly Lace
238,Lloyd Price and His Orchestra,(You Better) Know What You're Doin'
239,Chuck Jackson,(You Can't Let The Boy Overpower) The Man In You
240,The Miracles,(You Can't Let The Boy Overpower) The Man In You
241,Night Ranger,(You Can Still) Rock In America
242,Gary Lewis And The Playboys,(You Don't Have To) Paint Me A Picture
243,Nancy Wilson,(You Don't Know) How Glad I Am
244,Britney Spears,(You Drive Me) Crazy
245,Peter Tosh with Mick Jagger,(You Got To Walk And) Don't Look Back
246,Beastie Boys,(You Gotta) Fight For Your Right (To Party!)
247,Joe Simon,(You Keep Me) Hangin' On
248,Aretha Franklin,(You Make Me Feel Like) A Natural Woman
249,Mary J. Blige,(You Make Me Feel Like) A Natural Woman (From "New York Undercover")
250,The McCoys,(You Make Me Feel) So Good
251,Bon Jovi,(You Want To) Make A Memory
252,Jackie Wilson,(You Were Made For) All My Love
253,Rita Coolidge,(your Love Has Lifted Me) Higher And Higher
254,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher
255,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless
256,Andy Williams,......And Roses And Roses
257,Sandy Nelson,...And Then There Were Drums
258,Britney Spears,...Baby One More Time
259,Taylor Swift,...Ready For It?
260,Playboi Carti,@ MEH
261,Adina Howard,[Freak] And U Know It
262,Augie Rios,¿Dònde Està Santa Claus? (Where Is Santa Claus?)
263,Drake,0 To 100 / The Catch Up
264,Gloria Estefan & Miami Sound Machine,1-2-3
265,Len Barry,1-2-3
266,The Chimes,1-2-3
267,East Coast Family,1-4-All-4-1
268,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
269,E-40 (Featuring Leviti),1-Luv
270,Lil Yachty,1 Night
271,Olivia Rodrigo,1 Step Forward 3 Steps Back
272,Amerie,1 Thing
273,Luke Combs & Brooks & Dunn,1 2 Many
274,Ciara Featuring Missy Elliott,1 2 Step
275,Plain White T's,1 2 3 4
276,Coolio,1 2 3 4 (Sumpin' New)
277,1910 Fruitgum Co.,1 2 3 Red Light
278,Eloise Laws,1000 Laughs
279,21 Savage,1.5
280,Beyonce,1+1
281,Face To Face,10-9-8
282,Drake,10 Bands
283,Metro Boomin Featuring 21 Savage,10 Freaky Girls
284,Johnny Bond,10 Little Bottles
285,Dan + Shay & Justin Bieber,10000 Hours
286,The Game Featuring Drake,100
287,Mac Miller,100 Grandkids
288,Five For Fighting,100 Years
289,Nancy Sinatra,100 Years
290,Crystal Waters,100% Pure Love
291,J. Cole & Bas,100.mil'
292,Feist,1234
293,Seatrain,13 Questions
294,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle
295,Bobby Brackins Featuring Ray J,143
296,Bobby Russell,1432 Franklin Pike Circle Hero
297,Marc Nelson,15 Minutes
298,The Crests,16 Candles
299,Rick James,17
300,Brantley Gilbert,17 Again
301,One Direction,18
302,Skid Row,18 And Life
303,Bobby Darin,18 Yellow Roses
304,Paul Hardcastle,19
305,Mark Wills,19 Somethin'
306,Dan + Shay,19 You + Me
307,Liz Damon's Orient Express,1900 Yesterday
308,Phoenix,1901
309,Mike Reilly,1927 Kansas City
310,Tom Northcott,1941
311,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942
312,Meek Mill,1942 Flows
313,James Blunt,1973
314,The Smashing Pumpkins,1979
315,Spirit,1984
316,Bowling For Soup,1985
317,J. Cole,1985 (Intro To The Fall Off)
318,Jason Aldean,1994
319,Prince,1999
320,The Rolling Stones,19th Nervous Breakdown
321,Bone Thugs-N-Harmony,1st Of Tha Month
322,Yung Joc Featuring Marques Houston & Trey Songz,1st Time
323,Spice Girls,2 Become 1
324,M.C. Hammer,2 Legit 2 Quit
325,Justin Bieber,2 Much
326,Tinashe Featuring ScHoolboy Q,2 On
327,Kevin Gates,2 Phones
328,Trey Songz Featuring T.I.,2 Reasons
329,Unk,2 Step
330,Missjones,2 Way Street
331,Willie Mitchell,20-75
332,George Benson,20/20
333,Lil Tjay,20/20
334,Jay Sean Featuring Nicki Minaj,2012 (It Ain't The End)
335,Lil Baby & Lil Durk,2040
336,Sleepy Hallow,2055
337,Polo G,21
338,Green Day,21 Guns
339,50 Cent Featuring Nate Dogg,21 Questions
340,WILLOW,21st Century Girl
341,Taylor Swift,22
342,YNW Melly & 9lokknine,223's
343,Mike WiLL Made-It Featuring Miley Cyrus Wiz Khalifa & Juicy J,23
344,Kanye West,24
345,Money Man Featuring Lil Baby,24
346,T.I.,24's
347,A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours
348,TeeFLii Featuring 2 Chainz,24 Hours
349,Dino,24/7
350,Kevon Edmonds,24/7
351,Meek Mill Featuring Ella Mai,24/7
352,Bruno Mars,24K Magic
353,Chicago,25 Or 6 To 4
354,Eminem,25 To Life
355,The Wilkinsons,26 Cents
356,David Guetta Featuring Justin Bieber,2U
357,Britney Spears,3
358,Redhead Kingpin & The F.B.I.,3-2-1 Pump
359,The KLF,3 A.M. Eternal
360,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat
361,Gunna Featuring Young Thug,3 Headed Snake
362,Nu Flavor,3 Little Words
363,Lil Wayne,3 Peat
364,Pop Smoke Featuring Bizzy Banks,30
365,Willie Mitchell,30-60-90
366,Drake,30 For 30 Freestyle
367,Brian Hyland,3000 Miles
368,Future,31 Days
369,The Shirelles,31 Flavors
370,Alana Davis,32 Flavors
371,Polo G,33
372,Ariana Grande,34+35
373,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35
374,Travi$ Scott Featuring Future & 2 Chainz,3500
375,Grand Puba,360 Degrees (What Goes Around)
376,Zedd & Katy Perry,365
377,Eminem,3am
378,Herb Alpert & The Tijuana Brass,3rd Man Theme
379,The Beatles,4 - By The Beatles
380,2 Chainz Featuring Travis Scott,4 AM
381,Melanie Fiona,4 AM
382,42 Dugg & Roddy Ricch,4 Da Gang
383,Future,4 Da Gang
384,Lil' Mo Featuring Fabolous,4 Ever
385,Gwen Stefani,4 In The Morning
386,Avant,4 Minutes
387,Glee Cast,4 Minutes
388,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes
389,Birdman Featuring Drake & Lil Wayne,4 My Town (Play Ball)
390,Boyz II Men,4 Seasons Of Loneliness
391,J. Cole,4 Your Eyez Only
392,LL Cool J Featuring Method Man Redman DMX Canibus And Master P,4 3 2 1
393,Sole Featuring JT Money & Kandi,4 5 6
394,JAY-Z,4:44
395,The Beach Boys,409
396,Pop Smoke,44 Bulldog
397,Logic,44 More
398,The Pixies Three,442 Glenwood Avenue
399,Drake Featuring Sampha,4422
400,Lil Uzi Vert,444+222
401,KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension
402,Dierks Bentley,5-1-5-0
403,The Presidents,5-10-15-20 (25-30 Years Of Love)
404,Jade,5-4-3-2 (Yo! Time Is Up)
405,The Byrds,5 D (Fifth Dimension)
406,Brownstone,5 Miles To Empty
407,Nonchalant,5 O'Clock
408,T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock
409,Yo Gotti,5 Star
410,Travis Scott,5% Tint
411,City Boy,5.7.0.5.
412,The Who,5:15
413,YoungBoy Never Broke Again,50 Shots
414,Paul Simon,50 Ways To Leave Your Lover
415,Train,50 Ways To Say Goodbye
416,Hooters,500 Miles
417,Bobby Bare,500 Miles Away From Home
418,EST Gee Featuring Lil Baby 42 Dugg & Rylo Rodriguez,5500 Degrees
419,Bruce Springsteen,57 Channels (And Nothin' On)
420,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot
421,Drake,6 God
422,Beyonce Featuring The Weeknd,6 Inch
423,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss
424,Drake,6 Man
425,LL Cool J,6 Minutes Of Pleasure
426,Sneaker Pimps,6 Underground
427,Wilson Pickett,634-5789 (Soulsville U.S.A.)
428,Lil Yachty Featuring Trippie Redd,66
429,Fetty Wap Featuring Remy Boyz,679
430,Prince And The New Power Generation,7
431,Gary Toms Empire,7-6-5-4-3-2-1 (Blow Your Whistle)
432,Love,7 And 7 Is
433,Craig David,7 Days
434,Ariana Grande,7 Rings
435,Four Tops,7 Rooms Of Gloom
436,Youssou N'Dour & Neneh Cherry,7 Seconds
437,Morgan Wallen,7 Summers
438,Miley Cyrus,7 Things
439,Lukas Graham,7 Years
440,Beyonce,7/11
441,The Five Americans,7:30 Guided Tour
442,The Big Sound Of Don Ralke,77 Sunset Strip
443,The Time,777-9311
444,Drake,7am On Bridle Path
445,Billie Eilish,8
446,Drake,8 Out Of 10
447,Bill Anderson,8 X 10
448,Blaque,808
449,Maren Morris,80s Mercedes
450,Squeeze,853-5937
451,Morgan Wallen,865
452,Tommy Tutone,867-5309/jenny
453,Big & Rich,8th Of November
454,Sugarhill Gang,8th Wonder
455,Kimberley Locke,8th World Wonder
456,Drake,9
457,Drake,9 AM In Dallas
458,Rick Ross Featuring Lil Wayne Or T.I.,9 Piece
459,Dolly Parton,9 To 5
460,Dickey Lee,9999999 Tears
461,Blackgirl,90's Girl
462,Wyclef Jean Featuring Mary J. Blige,911
463,Post Malone,92 Explorer
464,Souls Of Mischief,93 'til Infinity
465,J. Cole,95.south
466,? (Question Mark) & The Mysterians,96 Tears
467,Big Maybelle,96 Tears
468,Garland Jeffreys,96 Tears
469,Keith,98.6
470,Toto,99
471,Carol Lynn Townes,99 1/2
472,Nena,99 Luftballons
473,Albert Hammond,99 Miles From L.a.
474,JAY-Z,99 Problems
475,Tony Lucca,99 Problems
476,Peter Wolf,99 Worlds
477,Brian McComas,99.9% Sure (I've Never Been Here Before)
478,The O'Jays,992 Arguments
479,Digable Planets,9th Wonder (Slicker This Year)
480,Tai Verdes,A-O-K
481,Lady Gaga,A-YO
482,Clint Black With Wynonna,A Bad Goodbye
483,Herb Alpert & The Tijuana Brass,A Banda (Ah Bahn-da)
484,Hurricane Chris,A Bay Bay
485,The Rascals,A Beautiful Morning
486,Sonny & Cher,A Beautiful Story
487,Londonbeat,A Better Love
488,Elvis Presley With The Jordanaires,A Big Hunk O' Love
489,Deryl Dodd,A Bitter End
490,Tyler The Creator,A Boy Is A Gun
491,Johnny Cash,A Boy Named Sue
492,Frankie Avalon,A Boy Without A Girl
493,Dusty Springfield,A Brand New Me
494,The Supremes,A Breath Taking Guy
495,Jordin Sparks,A Broken Wing
496,James Wolpert,A Case Of You
497,Ernie K-Doe,A Certain Girl
498,Warren Zevon,A Certain Girl
499,Johnny Mathis,A Certain Smile
500,Christopher Cross,A Chance For Heaven
501,Adam Lambert,A Change Is Gonna Come
502,Sam Cooke,A Change Is Gonna Come
503,The 5th Dimension,A Change Is Gonna Come & People Gotta Be Free/The Declaration
504,Patti Page,A City Girl Stole My Country Boy
505,Pete Fountain,A Closer Walk
506,Walter Jackson,A Corner In The Sun
507,Little Willie John,A Cottage For Sale
508,Chad Brock With Hank Williams Jr. & George Jones,A Country Boy Can Survive (Y2K Version)
509,Sonny & Cher,A Cowboys Work Is Never Done
510,Jimmy Witter,A Cross Stands Alone
511,Lisette Melendez,A Day In My Life (Without You)
512,Jack Jones,A Day In The Life Of A Fool
513,Aretha Franklin,A Deeper Love (From "Sister Act 2")
514,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love
515,George Michael,A Different Corner
516,Bucky Covington,A Different World
517,The Limeliters,A Dollar Down
518,Ringo Starr,A Dose Of Rock 'N' Roll
519,Todd Rundgren,A Dream Goes On Forever
520,Soul II Soul,A Dreams A Dream
521,Tom Petty,A Face In The Crowd
522,Gary Allan,A Feelin' Like That
523,Clay Walker,A Few Questions
524,Walter Murphy & The Big Apple Band,A Fifth Of Beethoven
525,Darlene Love,A Fine Fine Boy
526,Tony Carey,A Fine Fine Day
527,Ike & Tina Turner,A Fool In Love
528,Andy Williams,A Fool Never Learns
529,Bob Dylan,A Fool Such As I
530,Andy Kim,A Friend In The City
531,John Dawson Read,A Friend Of Mine Is Going Blind
532,The Chordettes,A Girl's Work Is Never Done
533,The G-Clefs,A Girl Has To Know
534,Romeo Void,A Girl In Trouble (Is A Temporary Thing)
535,Easton Corbin,A Girl Like You
536,Gary Stites,A Girl Like You
537,The Smithereens,A Girl Like You
538,The Young Rascals,A Girl Like You
539,Edwyn Collins,A Girl Like You (From "Empire Records")
540,Darryl Worley,A Good Day To Run
541,Feargal Sharkey,A Good Heart
542,The Killers Featuring Toni Halliday,A Great Big Sled
543,The Mindbenders,A Groovy Kind Of Love
544,Tyler Farr,A Guy Walks Into A Bar
545,Blake Shelton,A Guy With A Girl
546,Rick Nelson,A Happy Guy
547,Ramsey Lewis Trio,A Hard Day's Night
548,The Beatles,A Hard Day's Night
549,Simon & Garfunkel,A Hazy Shade Of Winter
550,Art Garfunkel,A Heart In New York
551,Burl Ives,A Holly Jolly Christmas
552,America,A Horse With No Name
553,Brook Benton,A House Is Not A Home
554,Dionne Warwick,A House Is Not A Home
555,Glee Cast,A House Is Not A Home
556,Scott Garrett,A House Of Love
557,Dale Hawkins,A House A Car And A Wedding Ring
558,Mike Preston,A House A Car And A Wedding Ring
559,Gene McDaniels,A Hundred Pounds Of Clay
560,Carol Douglas,A Hurricane Is Coming Tonite
561,Queen,A Kind Of Magic
562,Jo Ann Campbell,A Kookie Little Paradise
563,Alejandro Sanz,A La Primera Persona
564,Dottie West,A Lesson In Leavin'
565,Bobby Vee,A Letter From Betty
566,Jimmy Clanton,A Letter To An Angel
567,Every Father's Teenage Son,A Letter To Dad
568,The Chi-lites,A Letter To Myself
569,The Four Preps,A Letter To The Beatles
570,French Montana Featuring The Weeknd & Max B,A Lie
571,Joe Walsh,A Life Of Illusion
572,Jackie DeShannon,A Lifetime Of Loneliness
573,Linkin Park X Steve Aoki,A Light That Never Comes
574,King Harvest,A Little Bit Like Magic
575,Jonas Brothers,A Little Bit Longer
576,The Monkees,A Little Bit Me A Little Bit You
577,Dr. Hook,A Little Bit More
578,The Dave Clark Five,A Little Bit Now
579,The Majors,A Little Bit Now (A Little Bit Later)
580,Jocelyn Enriquez,A Little Bit Of Ecstasy
581,Natalie Cole,A Little Bit of Heaven
582,Ronnie Dove,A Little Bit Of Heaven
583,New Edition,A Little Bit Of Love (Is All It Takes)
584,Garnet Mimms,A Little Bit Of Soap
585,Paul Davis,A Little Bit Of Soap
586,The Exciters,A Little Bit Of Soap
587,The Jarmels,A Little Bit Of Soap
588,Sara Evans,A Little Bit Stronger
589,Burl Ives,A Little Bitty Tear
590,Wanda Jackson,A Little Bitty Tear
591,Jimmie Rodgers,A Little Dog Cried
592,Jack Scott,A Little Feeling (Called Love)
593,Terri Clark,A Little Gasoline
594,Anne Murray,A Little Good News
595,Cliff Richard,A Little In Love
596,Pete Townshend,A Little Is Enough
597,Elvis Presley vs JXL,A Little Less Conversation
598,Elvis Presley With The Jordanaires,A Little Less Conversation
599,Fall Out Boy,A Little Less Sixteen Candles A Little More Touch Me
600,Corey Hart,A Little Love
601,Juice Newton,A Little Love
602,The Raes,A Little Lovin' (Keeps The Doctor Away)
603,Easton Corbin,A Little More Country Than That
