numID,songArtist,songName,lyrics
110,The Parliaments,(I Wanna) Testify,NA
111,Dion,(I was) Born To Cry,NA
112,Johnny Rivers,(I Washed My Hands In) Muddy Water,NA
113,Allan Clarke,(I Will Be Your) Shadow In The Street,NA
114,Barbara Mandrell,(If Loving You Is Wrong) I Don't Want To Be Right,NA
115,Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right,NA
116,Celine Dion,(If There Was) Any Other Way,NA
117,Shania Twain,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,NA
118,Weezer,(If You're Wondering If I Want You To) I Want You To,NA
119,Mac Davis,(if You Add) All The Love In The World,NA
120,The Drifters,(If You Cry) True Love True Love,NA
121,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,NA
122,Gloria Gaynor,(If You Want It) Do It Yourself,NA
123,Gino & Gina,(It's Been A Long Time) Pretty Baby,NA
124,Paula Abdul,(It's Just) The Way That You Love Me,NA
125,The Duprees featuring Joey Vann,(It's No) Sin,NA
126,Four Tops,(It's The Way) Nature Planned It,NA
127,Chuck Jackson,(It Never Happens) In Real Life,NA
128,Steven Tyler,(It) Feels So Good,NA
129,The Reflections,(Just Like) Romeo & Juliet,NA
130,Sha Na Na,(Just Like) Romeo And Juliet,NA
131,John Lennon,(Just Like) Starting Over,NA
132,The Human League,(Keep Feeling) Fascination,NA
133,Gloriana,(Kissed You) Good Night,NA
134,The 5th Dimension,(Last Night) I Didn't Get To Sleep At All,NA
135,Tony Toni Tone,(Lay Your Head On My) Pillow,NA
136,Bill Doggett,(Let's Do) The Hully Gully Twist,NA
137,The Temptations,(Loneliness Made Me Realize) It's You That I Need,NA
138,The Intruders,(Love Is Like A) Baseball Game,NA
139,Andy Gibb,(Love Is) Thicker Than Water,NA
140,The Fantastics,(Love Me) Love The Life I Lead,NA
141,Ferrante & Teicher,(Love Theme From) One Eyed Jacks,NA
142,George Torrence & The Naturals,(Mama Come Quick and Bring Your) Lickin' Stick,NA
143,Elvis Presley,(Marie's The Name) His Latest Flame,NA
144,The B.C. 52's,"(Meet) The Flintstones (From ""The Flintstones"")",NA
145,Little Caesar And The Consuls,(My Girl) Sloopy,NA
146,Donald Jenkins & The Delighters,(Native Girl) Elephant Walk,NA
147,Tommy Edwards,(New In) The Ways Of Love,NA
148,Ray Charles with the Raylettes,(Night Time Is) The Right Time,NA
149,Funkadelic,(Not Just) Knee Deep - Part 1,NA
150,Elvis Presley With The Jordanaires,(Now and Then There's) A Fool Such As I,NA
151,Lee Ann Womack,(Now You See Me) Now You Don't,NA
152,Goose Creek Symphony,(Oh Lord Won't You Buy Me A) Mercedes Benz,NA
153,Van Halen,(oh) Pretty Woman,NA
154,Ray Sawyer,(one More Year Of) Daddy's Little Girl,NA
155,The New Establishment,(One Of These Days) Sunday's Gonna' Come On Tuesday,NA
156,Dean Martin,(Open Up The Door) Let The Good Times In,NA
157,Andy Gibb,(Our Love) Don't Throw It All Away,NA
158,U2,(Pride) In The Name Of Love,NA
159,The Stompers,(Quarter To Four) Stomp,NA
160,Duran Duran,(Reach Up For The) Sunrise,NA
161,Dean Martin,(Remember Me) I'm The One Who Loves You,NA
162,Cat Stevens,(Remember The Days Of The) Old Schoolyard,NA
163,Elton John,(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,NA
164,Roy Orbison,(Say) You're My Girl,NA
165,Dobie Gray,"(See You At The) ""Go-Go""",NA
166,Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,NA
167,KC And The Sunshine Band,(Shake Shake Shake) Shake Your Booty,NA
168,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around,NA
169,All-4-One,(She's Got) Skillz,NA
170,Starz,(She's Just A) Fallen Angel,NA
171,Stray Cats,(she's) Sexy + 17,NA
172,Huey Lewis & The News,(She's) Some Kind Of Wonderful,NA
173,The Fantastic Johnny C,(She's) Some Kind Of Wonderful,NA
174,Travis Wammack,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,NA
175,King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay,NA
176,Michael Bolton,(Sittin' On) The Dock Of The Bay,NA
177,Otis Redding,(Sittin' On) The Dock Of The Bay,NA
178,Sammy Hagar,(Sittin' On) The Dock Of The Bay,NA
179,Sergio Mendes & Brasil '66,(Sittin' On) The Dock Of The Bay,NA
180,The Reddings,(Sittin' On) The Dock Of The Bay,NA
181,Elvis Presley With The Jordanaires,(Such An) Easy Question,NA
182,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,NA
183,Shirley Ellis,(That's) What The Nitty Gritty Is,NA
184,The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees,NA
185,The Ronettes,(The Best Part Of) Breakin' Up,NA
186,Brian Hyland,(The Clickity Clack Song) Four Little Heels,NA
187,Don Fardon,(The Lament Of The Cherokee) Indian Reservation,NA
188,Bee Gees,(The Lights Went Out In) Massachusetts,NA
189,Gene Pitney,(The Man Who Shot) Liberty Valance,NA
190,The Irish Rovers,(The Puppet Song) Whiskey On A Sunday,NA
191,Tony Clarke,(The Story Of) Woman Love And A Man (Part 1),NA
192,The Alan Parsons Project,(The System Of) Doctor Tarr And Professor Fether,NA
193,Ferrante & Teicher,"(Theme From) ""Goodbye Again""",NA
194,Ernie Freeman,"(Theme from) ""The Dark At The Top Of The Stairs""",NA
195,Dick Roman,(Theme from) A Summer Place,NA
196,Jimmy Smith,(Theme From) Any Number Can Win,NA
197,Henry Mancini And His Orchestra,(Theme from) Charlie's Angels,NA
198,Henry Mancini And His Orchestra,(Theme From) Love Story,NA
199,Lawrence Welk And His Orchestra,(Theme from) My Three Sons,NA
200,The Ventures,(Theme From) Silver City,NA
201,Henry Mancini And His Orchestra,(Theme from) The Great Impostor,NA
202,Mantovani & His Orchestra,(Theme From) The Sundowners,NA
203,Dionne Warwick,(Theme From) Valley Of The Dolls,NA
204,Bobby Vee,(There'll Come A Day When) Ev'ry Little Bit Hurts,NA
205,Stacie Orrico,(There's Gotta Be) More To Life,NA
206,Perry Como,(There's No Place Like) Home For The Holidays,NA
207,Dionne Warwick,(There's) Always Something There To Remind Me,NA
208,Lou Johnson,(There's) Always Something There To Remind Me,NA
209,Sandie Shaw,(There's) Always Something There To Remind Me,NA
210,Ronnie Milsap,(There's) No Gettin' Over Me,NA
211,Dorsey Burnette,(There Was A) Tall Oak Tree,NA
212,Carpenters,(They Long To Be) Close To You,NA
213,Jerry Butler & Brenda Lee Eager,(They Long To Be) Close To You,NA
214,Darlene Love,(Today I Met) The Boy I'm Gonna Marry,NA
215,Carpenters,(Want You) Back In My Life Again,NA
216,The Intruders,(We'll Be) United,NA
217,Martha Reeves & The Vandellas,(We've Got) Honey Love,NA
218,Blues Magoos,(We Ain't Got) Nothin' Yet,NA
219,Pat Boone,(Welcome) New Lovers,NA
220,Ral Donner,(What A Sad Way) To Love Someone,NA
221,Art Garfunkel With James Taylor & Paul Simon,(What A)  Wonderful World,NA
222,Naked Eyes,(what) In The Name Of Love,NA
223,The Chicago Loop,(When She Needs Good Lovin') She Comes To Me,NA
224,Sean Paul Feat. Keyshia Cole,(When You Gonna) Give It Up To Me,NA
225,Andy Williams,(Where Do I Begin) Love Story,NA
226,The Kinks,(Wish I Could Fly Like) Superman,NA
227,Frankie Valli,(You're Gonna) Hurt Yourself,NA
228,Seduction,(You're My One And Only) True Love,NA
229,Donny & Marie Osmond,(You're My) Soul And Inspiration,NA
230,The Righteous Brothers,(You're My) Soul And Inspiration,NA
231,Stephanie Mills,(You're Puttin') A Rush On Me,NA
232,Joni Mitchell,(you're So Square) Baby I Don't Care,NA
233,Elvis Presley With The Jordanaires,(You're the) Devil In Disguise,NA
234,Paul Anka with Odia Coates,(You're) Having My Baby,NA
235,Chairman Of The Board,(You've Got Me) Dangling On A String,NA
236,Marv Johnson,(You've Got To) Move Two Mountains,NA
237,Mitch Ryder,(You've Got) Personality And Chantilly Lace,NA
238,Lloyd Price and His Orchestra,(You Better) Know What You're Doin',NA
239,Chuck Jackson,(You Can't Let The Boy Overpower) The Man In You,NA
240,The Miracles,(You Can't Let The Boy Overpower) The Man In You,NA
241,Night Ranger,(You Can Still) Rock In America,NA
242,Gary Lewis And The Playboys,(You Don't Have To) Paint Me A Picture,NA
243,Nancy Wilson,(You Don't Know) How Glad I Am,NA
244,Britney Spears,(You Drive Me) Crazy,NA
245,Peter Tosh with Mick Jagger,(You Got To Walk And) Don't Look Back,NA
246,Beastie Boys,(You Gotta) Fight For Your Right (To Party!),NA
247,Joe Simon,(You Keep Me) Hangin' On,NA
248,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,NA
249,Mary J. Blige,"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")",NA
250,The McCoys,(You Make Me Feel) So Good,NA
251,Bon Jovi,(You Want To) Make A Memory,NA
252,Jackie Wilson,(You Were Made For) All My Love,NA
253,Rita Coolidge,(your Love Has Lifted Me) Higher And Higher,NA
254,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,NA
255,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,NA
256,Andy Williams,......And Roses And Roses,NA
257,Sandy Nelson,...And Then There Were Drums,NA
258,Britney Spears,...Baby One More Time,NA
259,Taylor Swift,...Ready For It?,NA
260,Playboi Carti,@ MEH,NA
261,Adina Howard,[Freak] And U Know It,NA
262,Augie Rios,¿Dònde Està Santa Claus? (Where Is Santa Claus?),NA
263,Drake,0 To 100 / The Catch Up,NA
264,Gloria Estefan & Miami Sound Machine,1-2-3,NA
265,Len Barry,1-2-3,NA
266,The Chimes,1-2-3,NA
267,East Coast Family,1-4-All-4-1,NA
268,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,NA
269,E-40 (Featuring Leviti),1-Luv,NA
270,Lil Yachty,1 Night,NA
271,Olivia Rodrigo,1 Step Forward 3 Steps Back,NA
272,Amerie,1 Thing,NA
273,Luke Combs & Brooks & Dunn,1 2 Many,NA
274,Ciara Featuring Missy Elliott,1 2 Step,NA
275,Plain White T's,1 2 3 4,NA
276,Coolio,1 2 3 4 (Sumpin' New),NA
277,1910 Fruitgum Co.,1 2 3 Red Light,NA
278,Eloise Laws,1000 Laughs,NA
279,21 Savage,1.5,NA
280,Beyonce,1+1,NA
281,Face To Face,10-9-8,NA
282,Drake,10 Bands,NA
283,Metro Boomin Featuring 21 Savage,10 Freaky Girls,NA
284,Johnny Bond,10 Little Bottles,NA
285,Dan + Shay & Justin Bieber,10000 Hours,NA
286,The Game Featuring Drake,100,NA
287,Mac Miller,100 Grandkids,NA
288,Five For Fighting,100 Years,NA
289,Nancy Sinatra,100 Years,NA
290,Crystal Waters,100% Pure Love,NA
291,J. Cole & Bas,100.mil',NA
292,Feist,1234,NA
293,Seatrain,13 Questions,NA
294,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,NA
295,Bobby Brackins Featuring Ray J,143,NA
296,Bobby Russell,1432 Franklin Pike Circle Hero,NA
297,Marc Nelson,15 Minutes,NA
298,The Crests,16 Candles,NA
299,Rick James,17,NA
300,Brantley Gilbert,17 Again,NA
301,One Direction,18,NA
302,Skid Row,18 And Life,NA
303,Bobby Darin,18 Yellow Roses,NA
304,Paul Hardcastle,19,NA
305,Mark Wills,19 Somethin',NA
306,Dan + Shay,19 You + Me,NA
307,Liz Damon's Orient Express,1900 Yesterday,NA
308,Phoenix,1901,NA
309,Mike Reilly,1927 Kansas City,NA
310,Tom Northcott,1941,NA
311,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,NA
312,Meek Mill,1942 Flows,NA
313,James Blunt,1973,NA
314,The Smashing Pumpkins,1979,NA
315,Spirit,1984,NA
316,Bowling For Soup,1985,NA
317,J. Cole,1985 (Intro To The Fall Off),NA
318,Jason Aldean,1994,NA
319,Prince,1999,NA
320,The Rolling Stones,19th Nervous Breakdown,NA
321,Bone Thugs-N-Harmony,1st Of Tha Month,NA
322,Yung Joc Featuring Marques Houston & Trey Songz,1st Time,NA
323,Spice Girls,2 Become 1,NA
324,M.C. Hammer,2 Legit 2 Quit,NA
325,Justin Bieber,2 Much,NA
326,Tinashe Featuring ScHoolboy Q,2 On,NA
327,Kevin Gates,2 Phones,NA
328,Trey Songz Featuring T.I.,2 Reasons,NA
329,Unk,2 Step,NA
330,Missjones,2 Way Street,NA
331,Willie Mitchell,20-75,NA
332,George Benson,20/20,NA
333,Lil Tjay,20/20,NA
334,Jay Sean Featuring Nicki Minaj,2012 (It Ain't The End),NA
335,Lil Baby & Lil Durk,2040,NA
336,Sleepy Hallow,2055,NA
337,Polo G,21,NA
338,Green Day,21 Guns,NA
339,50 Cent Featuring Nate Dogg,21 Questions,NA
340,WILLOW,21st Century Girl,NA
341,Taylor Swift,22,NA
342,YNW Melly & 9lokknine,223's,NA
343,Mike WiLL Made-It Featuring Miley Cyrus Wiz Khalifa & Juicy J,23,NA
344,Kanye West,24,NA
345,Money Man Featuring Lil Baby,24,NA
346,T.I.,24's,NA
347,A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours,NA
348,TeeFLii Featuring 2 Chainz,24 Hours,NA
349,Dino,24/7,NA
350,Kevon Edmonds,24/7,NA
351,Meek Mill Featuring Ella Mai,24/7,NA
352,Bruno Mars,24K Magic,NA
353,Chicago,25 Or 6 To 4,NA
354,Eminem,25 To Life,NA
355,The Wilkinsons,26 Cents,NA
356,David Guetta Featuring Justin Bieber,2U,NA
357,Britney Spears,3,NA
358,Redhead Kingpin & The F.B.I.,3-2-1 Pump,NA
359,The KLF,3 A.M. Eternal,NA
360,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,NA
361,Gunna Featuring Young Thug,3 Headed Snake,NA
362,Nu Flavor,3 Little Words,NA
363,Lil Wayne,3 Peat,NA
364,Pop Smoke Featuring Bizzy Banks,30,NA
365,Willie Mitchell,30-60-90,NA
366,Drake,30 For 30 Freestyle,NA
367,Brian Hyland,3000 Miles,NA
368,Future,31 Days,NA
369,The Shirelles,31 Flavors,NA
370,Alana Davis,32 Flavors,NA
371,Polo G,33,NA
372,Ariana Grande,34+35,NA
373,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35,NA
374,Travi$ Scott Featuring Future & 2 Chainz,3500,NA
375,Grand Puba,360 Degrees (What Goes Around),NA
376,Zedd & Katy Perry,365,NA
377,Eminem,3am,NA
378,Herb Alpert & The Tijuana Brass,3rd Man Theme,NA
379,The Beatles,4 - By The Beatles,NA
380,2 Chainz Featuring Travis Scott,4 AM,NA
381,Melanie Fiona,4 AM,NA
382,42 Dugg & Roddy Ricch,4 Da Gang,NA
383,Future,4 Da Gang,NA
384,Lil' Mo Featuring Fabolous,4 Ever,NA
385,Gwen Stefani,4 In The Morning,NA
386,Avant,4 Minutes,NA
387,Glee Cast,4 Minutes,NA
388,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,NA
389,Birdman Featuring Drake & Lil Wayne,4 My Town (Play Ball),NA
390,Boyz II Men,4 Seasons Of Loneliness,NA
391,J. Cole,4 Your Eyez Only,NA
392,LL Cool J Featuring Method Man Redman DMX Canibus And Master P,4 3 2 1,NA
393,Sole Featuring JT Money & Kandi,4 5 6,NA
394,JAY-Z,4:44,NA
395,The Beach Boys,409,NA
396,Pop Smoke,44 Bulldog,NA
397,Logic,44 More,NA
398,The Pixies Three,442 Glenwood Avenue,NA
399,Drake Featuring Sampha,4422,NA
400,Lil Uzi Vert,444+222,NA
401,KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,NA
402,Dierks Bentley,5-1-5-0,NA
403,The Presidents,5-10-15-20 (25-30 Years Of Love),NA
404,Jade,5-4-3-2 (Yo! Time Is Up),NA
405,The Byrds,5 D (Fifth Dimension),NA
406,Brownstone,5 Miles To Empty,NA
407,Nonchalant,5 O'Clock,NA
408,T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,NA
409,Yo Gotti,5 Star,NA
410,Travis Scott,5% Tint,NA
411,City Boy,5.7.0.5.,NA
412,The Who,5:15,NA
413,YoungBoy Never Broke Again,50 Shots,NA
414,Paul Simon,50 Ways To Leave Your Lover,NA
415,Train,50 Ways To Say Goodbye,NA
416,Hooters,500 Miles,NA
417,Bobby Bare,500 Miles Away From Home,NA
418,EST Gee Featuring Lil Baby 42 Dugg & Rylo Rodriguez,5500 Degrees,NA
419,Bruce Springsteen,57 Channels (And Nothin' On),NA
420,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,NA
421,Drake,6 God,NA
422,Beyonce Featuring The Weeknd,6 Inch,NA
423,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,NA
424,Drake,6 Man,NA
425,LL Cool J,6 Minutes Of Pleasure,NA
426,Sneaker Pimps,6 Underground,NA
427,Wilson Pickett,634-5789 (Soulsville U.S.A.),NA
428,Lil Yachty Featuring Trippie Redd,66,NA
429,Fetty Wap Featuring Remy Boyz,679,NA
430,Prince And The New Power Generation,7,NA
431,Gary Toms Empire,7-6-5-4-3-2-1 (Blow Your Whistle),NA
432,Love,7 And 7 Is,NA
433,Craig David,7 Days,NA
434,Ariana Grande,7 Rings,NA
435,Four Tops,7 Rooms Of Gloom,NA
436,Youssou N'Dour & Neneh Cherry,7 Seconds,NA
437,Morgan Wallen,7 Summers,NA
438,Miley Cyrus,7 Things,NA
439,Lukas Graham,7 Years,NA
440,Beyonce,7/11,NA
441,The Five Americans,7:30 Guided Tour,NA
442,The Big Sound Of Don Ralke,77 Sunset Strip,NA
443,The Time,777-9311,NA
444,Drake,7am On Bridle Path,NA
445,Billie Eilish,8,NA
446,Drake,8 Out Of 10,NA
447,Bill Anderson,8 X 10,NA
448,Blaque,808,NA
449,Maren Morris,80s Mercedes,NA
450,Squeeze,853-5937,NA
451,Morgan Wallen,865,NA
452,Tommy Tutone,867-5309/jenny,NA
453,Big & Rich,8th Of November,NA
454,Sugarhill Gang,8th Wonder,NA
455,Kimberley Locke,8th World Wonder,NA
456,Drake,9,NA
457,Drake,9 AM In Dallas,NA
458,Rick Ross Featuring Lil Wayne Or T.I.,9 Piece,NA
459,Dolly Parton,9 To 5,NA
460,Dickey Lee,9999999 Tears,NA
461,Blackgirl,90's Girl,NA
462,Wyclef Jean Featuring Mary J. Blige,911,NA
463,Post Malone,92 Explorer,NA
464,Souls Of Mischief,93 'til Infinity,NA
465,J. Cole,95.south,NA
466,? (Question Mark) & The Mysterians,96 Tears,NA
467,Big Maybelle,96 Tears,NA
468,Garland Jeffreys,96 Tears,NA
469,Keith,98.6,NA
470,Toto,99,NA
471,Carol Lynn Townes,99 1/2,NA
472,Nena,99 Luftballons,NA
473,Albert Hammond,99 Miles From L.a.,NA
474,JAY-Z,99 Problems,NA
475,Tony Lucca,99 Problems,NA
476,Peter Wolf,99 Worlds,NA
477,Brian McComas,99.9% Sure (I've Never Been Here Before),NA
478,The O'Jays,992 Arguments,NA
479,Digable Planets,9th Wonder (Slicker This Year),NA
480,Tai Verdes,A-O-K,NA
481,Lady Gaga,A-YO,NA
482,Clint Black With Wynonna,A Bad Goodbye,NA
483,Herb Alpert & The Tijuana Brass,A Banda (Ah Bahn-da),NA
484,Hurricane Chris,A Bay Bay,NA
485,The Rascals,A Beautiful Morning,NA
486,Sonny & Cher,A Beautiful Story,NA
487,Londonbeat,A Better Love,NA
488,Elvis Presley With The Jordanaires,A Big Hunk O' Love,NA
489,Deryl Dodd,A Bitter End,NA
490,Tyler The Creator,A Boy Is A Gun,NA
491,Johnny Cash,A Boy Named Sue,NA
492,Frankie Avalon,A Boy Without A Girl,NA
493,Dusty Springfield,A Brand New Me,NA
494,The Supremes,A Breath Taking Guy,NA
495,Jordin Sparks,A Broken Wing,NA
496,James Wolpert,A Case Of You,NA
497,Ernie K-Doe,A Certain Girl,NA
498,Warren Zevon,A Certain Girl,NA
499,Johnny Mathis,A Certain Smile,NA
500,Christopher Cross,A Chance For Heaven,NA
501,Adam Lambert,A Change Is Gonna Come,NA
502,Sam Cooke,A Change Is Gonna Come,NA
503,The 5th Dimension,A Change Is Gonna Come & People Gotta Be Free/The Declaration,NA
504,Patti Page,A City Girl Stole My Country Boy,NA
505,Pete Fountain,A Closer Walk,NA
506,Walter Jackson,A Corner In The Sun,NA
507,Little Willie John,A Cottage For Sale,NA
508,Chad Brock With Hank Williams Jr. & George Jones,A Country Boy Can Survive (Y2K Version),NA
509,Sonny & Cher,A Cowboys Work Is Never Done,NA
510,Jimmy Witter,A Cross Stands Alone,NA
511,Lisette Melendez,A Day In My Life (Without You),NA
512,Jack Jones,A Day In The Life Of A Fool,NA
513,Aretha Franklin,"A Deeper Love (From ""Sister Act 2"")",NA
514,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,NA
515,George Michael,A Different Corner,NA
516,Bucky Covington,A Different World,NA
517,The Limeliters,A Dollar Down,NA
518,Ringo Starr,A Dose Of Rock 'N' Roll,NA
519,Todd Rundgren,A Dream Goes On Forever,NA
520,Soul II Soul,A Dreams A Dream,NA
521,Tom Petty,A Face In The Crowd,NA
522,Gary Allan,A Feelin' Like That,NA
523,Clay Walker,A Few Questions,NA
524,Walter Murphy & The Big Apple Band,A Fifth Of Beethoven,NA
525,Darlene Love,A Fine Fine Boy,NA
526,Tony Carey,A Fine Fine Day,NA
527,Ike & Tina Turner,A Fool In Love,NA
528,Andy Williams,A Fool Never Learns,NA
529,Bob Dylan,A Fool Such As I,NA
